CCPA required,Index,category,sub category,Profit-nonprofit,companyWebsite,url
Government,60,HealthFitness,Diet,Government,choosemyplate.gov,https://www.myplate.gov/
Government,61,HealthFitness,Healthcare,Government,healthcare.gov,https://www.healthcare.gov/
Government,67,HealthFitness,Medical,Government,nih.gov,https://www.nih.gov/
Government,70,HealthFitness,Medical,Government,cdc.gov,https://www.cdc.gov/
Government,82,HealthFitness,OnlinePharmacies,Government,clinicaltrials.gov,https://clinicaltrials.gov/
Government,91,HealthFitness,WomensHealth,Government,womenshealth.gov,https://www.womenshealth.gov/
Government,393,ScienceMath,Astrology,Government,jpl.nasa.gov,https://www.jpl.nasa.gov/
Government,398,ScienceMath,Astrology,Government,apod.nasa.gov,https://apod.nasa.gov/apod/astropix.html
Government,399,ScienceMath,Biology,Government,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/
Government,409,ScienceMath,Biology,Government,genome.gov,https://www.genome.gov/
Government,410,ScienceMath,Biology,Government,ornl.gov,https://www.ornl.gov/
Government,416,ScienceMath,Biology,Government,ghr.nlm.nih.gov,https://medlineplus.gov/genetics/
Government,418,ScienceMath,Chemistry,non-profit,acs.org,https://www.acs.org/content/acs/en.html
Government,423,ScienceMath,Environmental,Government,noaa.gov,https://www.noaa.gov/
Government,424,ScienceMath,Environmental,Government,nps.gov,https://www.nps.gov/index.htm
Government,429,ScienceMath,Environmental,Government,energy.gov,https://www.energy.gov/
Government,431,ScienceMath,Environmental,Government,eia.gov,https://www.eia.gov/
Government,432,ScienceMath,Environmental,Government,fws.gov,https://fws.gov/
Government,442,ScienceMath,Engineering,Government,nasa.gov,https://www.nasa.gov/
Government,448,ScienceMath,Engineering,Government,osha.gov,https://www.osha.gov/
Government,458,ScienceMath,Engineering,Government,energystar.gov,https://www.energystar.gov/
Government,785,Automative,Aviation,Government,aviationweather.gov,https://aviationweather.gov/
Government,786,Automative,Aviation,Government,airforce.com,https://www.airforce.com/
Government,1057,Finance,Finance,Government,irs.gov,https://www.irs.gov/
Government,1058,Finance,Finance,Government,marketwatch.com,https://www.marketwatch.com/
Government,1081,Finance,Scholarship,Government,ed.gov,https://www.ed.gov/
Government,1083,Finance,Scholarship,Government,studentloans.gov,https://studentaid.gov/
Government,1084,Finance,Scholarship,non-profit,colleges.niche.com,https://www.niche.com/colleges/search/best-colleges/
Government,1085,Finance,Scholarship,Government,aessuccess.org,http://www.aessuccess.org/
non_profit,29,FoodBeverage,OnlineGroceryShopping,nonprofit,heb.com,https://www.heb.com/
non_profit,51,HealthFitness,Diet,nonprofit,livestrong.com,https://www.livestrong.com/
non_profit,63,HealthFitness,Healthcare,nonprofit,kaiserpermanente.org,https://healthy.kaiserpermanente.org/front-door
non_profit,68,HealthFitness,Medical,nonprofit,mayoclinic.org,https://www.mayoclinic.org/
non_profit,90,HealthFitness,WomensHealth,nonprofit,scarymommy.com,https://www.scarymommy.com/
non_profit,92,HealthFitness,WomensHealth,nonprofit,empowher.com,https://empowher.com/
non_profit,94,HealthFitness,WomensHealth,nonprofit,youngwomenshealth.org,https://youngwomenshealth.org/
non_profit,144,News Media,Conservative,nonprofit,theamericanconservative.com,https://www.theamericanconservative.com/
non_profit,174,News Media,Liberal,nonprofit,politifact.com,https://www.politifact.com/
non_profit,188,PeopleSociety,Crowdfunding,nonprofit,patreon.com,https://www.patreon.com/
non_profit,192,PetsAnimals,Birding,nonprofit,allaboutbirds.org,https://www.allaboutbirds.org/news/
non_profit,193,PetsAnimals,Birding,nonprofit,audubon.org,https://www.audubon.org/
non_profit,199,PetsAnimals,PetStores,nonprofit,petcarerx.com,https://www.petcarerx.com/
non_profit,201,PetsAnimals,Pet,nonprofit,akc.org,https://www.akc.org/
non_profit,202,PetsAnimals,Pet,nonprofit,iheartdogs.com,https://iheartdogs.com/
non_profit,212,PetsAnimals,Pet,nonprofit,peta.org,https://www.peta.org/
non_profit,222,Publishing,Book,nonprofit,cambridge.org,https://www.cambridge.org/
non_profit,236,Publishing,Book,nonprofit,jstor.org,https://www.jstor.org/
non_profit,246,Publishing,Ebook,nonprofit,wikibooks.org,https://www.wikibooks.org/
non_profit,251,Publishing,Ebook,nonprofit,gutenberg.org,https://gutenberg.org/
non_profit,254,Publishing,Ebook,nonprofit,openlibrary.org,https://openlibrary.org/
non_profit,272,Reference,BusinessListing,nonprofit,bbb.org,https://www.bbb.org/
non_profit,278,Reference,BusinessListing,Government,area-codes.com,https://www.area-codes.com/
non_profit,401,ScienceMath,Biology,non-profit,plos.org,https://plos.org/
non_profit,405,ScienceMath,Biology,non-profit,expasy.org,https://www.expasy.org/
non_profit,408,ScienceMath,Biology,non-profit,broadinstitute.org,https://www.broadinstitute.org/
non_profit,411,ScienceMath,Biology,non-profit,hhmi.org,https://www.hhmi.org/
non_profit,414,ScienceMath,Biology,non-profit,addgene.org,https://www.addgene.org/
non_profit,415,ScienceMath,Biology,non-profit,neb.com,https://www.neb.com/
non_profit,422,ScienceMath,Chemistry,non-profit,cas.org,https://www.cas.org/
non_profit,430,ScienceMath,Environmental,non-profit,ewg.org,https://www.ewg.org/
non_profit,434,ScienceMath,Environmental,non-profit,nature.org,https://www.nature.org/en-us/
non_profit,436,ScienceMath,Environmental,non-profit,sierraclub.org,https://www.sierraclub.org/
non_profit,437,ScienceMath,Environmental,non-profit,nwf.org,http://nwf.org/
non_profit,438,ScienceMath,Environmental,non-profit,worldwildlife.org,https://www.worldwildlife.org/
non_profit,441,ScienceMath,Environmental,non-profit,grist.org,https://grist.org/
non_profit,880,CareerEducation,Educational,non-profit,blackboard.com,https://www.blackboard.com/
non_profit,888,CareerEducation,Educational,non-profit,sparknotes.com,https://www.sparknotes.com/
non_profit,891,CareerEducation,Educational,non-profit,greatschools.org,https://www.greatschools.org/
non_profit,892,CareerEducation,Educational,non-profit,chegg.com,https://www.chegg.com/
non_profit,944,CareerEducation,OnlineLearning,non-profit,codecademy.com,https://www.codecademy.com/
non_profit,976,Entertainment,Music,non-profit,npr.org,https://www.npr.org/
non_profit,1067,Finance,Insurance,non-profit,bcbs.com,https://www.bcbs.com/
non_profit,1069,Finance,Insurance,non-profit,humana.com,https://www.humana.com/
non_profit,1074,Finance,Insurance,non-profit,farmers.com,https://www.farmers.com/
non_profit,1075,Finance,Insurance,non-profit,metlife.com,https://www.metlife.com/
non_profit,1078,Finance,Insurance,non-profit,esurance.com,https://www.esurance.com/
revenue_not_suff,1,FoodBeverage,Food,profit,thekitchn.com,https://www.thekitchn.com/
revenue_not_suff,2,FoodBeverage,Food,profit,food.com,https://www.food.com/
revenue_not_suff,3,FoodBeverage,Food,profit,sallysbakingaddiction.com,https://sallysbakingaddiction.com/
revenue_not_suff,5,FoodBeverage,Food,profit,seriouseats.com,https://www.seriouseats.com/
revenue_not_suff,6,FoodBeverage,Food,profit,epicurious.com,https://www.epicurious.com/
revenue_not_suff,9,FoodBeverage,Food,profit,myrecipes.com,https://www.myrecipes.com/
revenue_not_suff,11,FoodBeverage,Food,profit,tasteofhome.com,https://www.tasteofhome.com/
revenue_not_suff,12,FoodBeverage,Food,profit,delish.com,https://www.delish.com/
revenue_not_suff,15,FoodBeverage,Food,profit,thepioneerwoman.com,https://www.thepioneerwoman.com/
revenue_not_suff,23,FoodBeverage,FoodDelivery,profit,orderup.com,https://www.orderup.com.au/
revenue_not_suff,25,FoodBeverage,FoodDelivery,profit,beyondmenu.com,https://www.beyondmenu.com/
revenue_not_suff,35,FoodBeverage,Restaurants,profit,dominos.com,https://www.dominos.com/
revenue_not_suff,46,Gambling,Gambling,profit,flashscore.com,https://www.flashscore.com/
revenue_not_suff,50,Gambling,Gambling,profit,betradar.com,https://betradar.com/
revenue_not_suff,55,HealthFitness,Diet,profit,healthypage.com,https://healthypage.com/
revenue_not_suff,57,HealthFitness,Diet,profit,sparkpeople.com,https://www.sparkpeople.com/index.asp
revenue_not_suff,58,HealthFitness,Diet,profit,calorieking.com,https://www.calorieking.com/us/en/
revenue_not_suff,59,HealthFitness,Diet,profit,fooducate.com,https://www.calorieking.com/us/en/
revenue_not_suff,71,HealthFitness,Medical,profit,medscape.com,https://www.medscape.com/
revenue_not_suff,73,HealthFitness,Medical,profit,curejoy.com,https://curejoy.com/
revenue_not_suff,78,HealthFitness,OnlinePharmacies,profit,rxlist.com,https://www.rxlist.com/
revenue_not_suff,86,HealthFitness,WomensHealth,profit,mindbodygreen.com,https://www.mindbodygreen.com/
revenue_not_suff,87,HealthFitness,WomensHealth,profit,lifescript.com,https://www.everydayhealth.com/
revenue_not_suff,88,HealthFitness,WomensHealth,profit,shape.com,https://www.shape.com/
revenue_not_suff,93,HealthFitness,WomensHealth,profit,skinnyms.com,https://skinnyms.com/
revenue_not_suff,100,HomeGarden,BuyArtOnline,profit,allposters.com,https://www.allposters.com/
revenue_not_suff,101,HomeGarden,BuyArtOnline,profit,fineartamerica.com,https://fineartamerica.com/
revenue_not_suff,115,HomeGarden,Gardening,profit,gardeningknowhow.com,https://www.gardeningknowhow.com/
revenue_not_suff,117,HomeGarden,Gardening,profit,gardenweb.com,https://www.gardenweb.com/
revenue_not_suff,124,HomeGarden,HomeDecorating,profit,countryliving.com,https://www.countryliving.com/
revenue_not_suff,125,HomeGarden,HomeDecorating,profit,bhg.com,https://www.bhg.com/
revenue_not_suff,130,Leisure,Craft,profit,hobbylobby.com,https://www.hobbylobby.com/
revenue_not_suff,134,Leisure,Craft,profit,livinglocurto.com,https://www.livinglocurto.com/
revenue_not_suff,141,News Media,Conservative,profit,thehill.com,https://thehill.com/
revenue_not_suff,145,News Media,Conservative,profit,breitbart.com,https://www.breitbart.com/
revenue_not_suff,150,News Media,Conservative,profit,theblaze.com,https://www.theblaze.com/
revenue_not_suff,151,News Media,Conservative,profit,westernjournalism.com,https://www.westernjournal.com/
revenue_not_suff,156,News Media,Conservative,profit,washingtonexaminer.com,https://www.washingtonexaminer.com/
revenue_not_suff,161,News Media,Liberal,profit,slate.com,https://slate.com/
revenue_not_suff,162,News Media,Liberal,profit,rollingstone.com,https://www.rollingstone.com/
revenue_not_suff,164,News Media,Liberal,profit,dailykos.com,https://www.dailykos.com/
revenue_not_suff,168,News Media,Liberal,profit,rawstory.com,https://www.rawstory.com/
revenue_not_suff,170,News Media,Liberal,profit,salon.com,https://www.salon.com/
revenue_not_suff,173,News Media,Liberal,profit,alternet.org,https://www.alternet.org/
revenue_not_suff,175,News Media,Liberal,profit,credoaction.com,https://www.credoaction.com/
revenue_not_suff,176,News Media,Liberal,profit,thinkprogress.org,https://thinkprogress.org/
revenue_not_suff,180,News Media,Newspapers,profit,nydailynews.com,https://www.nydailynews.com/
revenue_not_suff,186,PeopleSociety,Crowdfunding,profit,kickstarter.com,https://www.kickstarter.com/
revenue_not_suff,203,PetsAnimals,Pet,profit,dogtime.com,https://dogtime.com/
revenue_not_suff,205,PetsAnimals,Pet,profit,petfinder.com,https://www.petfinder.com/
revenue_not_suff,207,PetsAnimals,Pet,profit,petmd.com,https://www.petmd.com/
revenue_not_suff,208,PetsAnimals,Pet,profit,adoptapet.com,https://www.adoptapet.com/
revenue_not_suff,209,PetsAnimals,Pet,profit,cesarsway.com,https://www.cesarsway.com/
revenue_not_suff,211,PetsAnimals,Pet,profit,dogbreedinfo.com,http://dogbreedinfo.com/
revenue_not_suff,213,PetsAnimals,Pet,profit,puppyfind.com,https://puppies.com/
revenue_not_suff,214,PetsAnimals,Pet,profit,backyardchickens.com,https://www.backyardchickens.com/
revenue_not_suff,215,PetsAnimals,Pet,profit,dogster.com,https://www.dogster.com/
revenue_not_suff,217,PetsAnimals,Pet,profit,thecatsite.com,https://thecatsite.com/
revenue_not_suff,218,PetsAnimals,Pet,profit,thedodo.com,https://www.thedodo.com/
revenue_not_suff,220,Publishing,Book,profit,ebrary.com,https://about.proquest.com/en/products-services/ebooks-main/
revenue_not_suff,228,Publishing,Book,profit,ebook3000.com,http://ebook3000.com/
revenue_not_suff,230,Publishing,Book,profit,springer.com,https://www.springer.com/us
revenue_not_suff,238,Publishing,BookReview,profit,publishersweekly.com,https://www.publishersweekly.com/
revenue_not_suff,239,Publishing,BookReview,profit,westeros.org,https://westeros.org/
revenue_not_suff,240,Publishing,BookReview,profit,nybooks.com,https://www.nybooks.com/
revenue_not_suff,241,Publishing,BookReview,profit,librarything.com,https://www.librarything.com/
revenue_not_suff,243,Publishing,BookReview,profit,ebookfriendly.com,https://ebookfriendly.com/
revenue_not_suff,248,Publishing,Ebook,profit,freemake.com,https://www.freemake.com/
revenue_not_suff,250,Publishing,Ebook,profit,bookbub.com,https://www.bookbub.com/welcome
revenue_not_suff,255,Publishing,Ebook,profit,openculture.com,https://openculture.com/
revenue_not_suff,257,Publishing,Textbook,profit,abebooks.com,https://www.abebooks.com/
revenue_not_suff,258,Publishing,Textbook,profit,safaribooksonline.com,https://www.oreilly.com/
revenue_not_suff,259,Publishing,Textbook,profit,bkstr.com,https://www.bkstr.com/efollettstore/home
revenue_not_suff,260,Publishing,Textbook,profit,vitalsource.com,https://www.vitalsource.com/
revenue_not_suff,262,Publishing,Textbook,profit,valorebooks.com,https://www.valorebooks.com/
revenue_not_suff,276,Reference,BusinessListing,profit,superpages.com,https://www.superpages.com/
revenue_not_suff,281,Reference,BusinessListing,profit,yell.com,https://www.yell.com/
revenue_not_suff,285,Retail,Classifieds,profit,quikr.com,https://www.quikr.com/
revenue_not_suff,287,Retail,Classifieds,profit,corotos.com.do,https://www.corotos.com.do/
revenue_not_suff,288,Retail,Classifieds,profit,expatriates.com,https://www.expatriates.com/
revenue_not_suff,290,Retail,Classifieds,profit,claz.org,https://claz.org/
